Id,Predicted
0,34.9604501613153
1,29.56841462062835
2,24.03717492365307
3,30.348915551768485
4,32.795251457885946
5,24.250284152530472
6,28.00724096383185
7,19.01700136709696
8,44.629322584235524
9,21.05611910883235
10,42.351701622315616
11,19.547044224931415
12,30.36163554256201
13,19.597058728315883
14,33.801526734316596
15,29.74062470231008
16,40.386984131881185
17,30.878067236319747
18,29.009185688215275
19,28.56921482119102
20,41.04261270102445
21,27.147103733083203
22,42.02150313901785
23,28.504579372134998
24,30.654157443176015
25,34.98411193463398
26,28.494621041948253
27,23.366251942501936
28,32.58942672360317
29,28.308454627394454
30,30.221244182288306
31,37.01434214802655
32,25.04383891312935
33,20.88206751092045
34,35.31810196419078
35,20.881083182941936
36,21.986766029721913
37,33.20278002690464
38,22.69942102831809
39,22.760315201374052
40,21.55425405515538
41,21.90638950224612
42,41.05996481171906
43,34.006386829244036
44,43.53001668388802
45,33.24078647984929
46,36.3879113397138
47,27.74439382757763
48,21.125258757195684
49,29.967254822619772
50,34.780782778947064
51,23.099922861044192
52,28.388846437102632
53,24.504013834591607
54,39.64372897568119
55,30.90595219703328
56,32.22677804355087
57,26.44010249429794
58,27.50466475019649
59,27.029032938209035
60,20.16148598133892
61,20.9706464751279
62,36.70404846134258
63,20.70339332711063
64,29.3262244475833
65,28.362374644629973
66,18.21859806915651
67,26.0590225085372
68,23.945621344019756
69,31.12079250483778
70,26.555228264361208
71,18.73615601838822
72,26.963991864594114
73,24.995451517801953
74,35.27453497238057
75,40.88159004149446
76,29.593406112613756
77,29.999522761165572
78,19.945045469258122
79,28.169677722024275
80,21.215006561957992
81,27.048787007099776
82,27.607229132516085
83,37.81361789571366
84,18.92495617533911
85,42.91755561921735
86,21.43774343660297
87,19.711944822742616
88,20.421833737061885
89,21.418694782578097
90,28.03927041654596
91,18.235950947745074
92,19.384220721143326
93,36.323036931614155
94,20.364257654518685
95,19.369450472343278
96,22.647626387394006
97,32.14854906385325
98,39.30343783280702
99,37.22117931928323
100,27.449738496797313
101,35.24658398825119
102,20.31695775397633
103,38.510968685189056
104,22.405395861963974
105,29.79203469079939
106,19.865165973367013
107,22.005055503728315
108,30.49664605601014
109,18.102158178788024
110,36.057310382019935
111,20.68118413283912
112,19.48549388124775
113,25.8404378305518
114,25.5477033175158
115,32.111777021933186
116,20.302309379625356
117,22.316644308714167
118,35.00572013566498
119,19.15236522627698
120,29.38016759243724
121,32.8219801536183
122,19.033811238361736
123,44.37774468400107
124,33.16866794548762
125,21.593135358105947
126,36.64068483651281
127,35.193627399239055
128,29.65632720704218
129,23.16098368120099
130,25.134899322319406
131,42.02806956584007
132,19.80014996147214
